model,horizon,component,rmse,mae,corr
RNN,1,component_27,0.7764148001010718,0.6177096326046663,0.25428850423575045
RNN,1,component_28,0.691994979085983,0.5551354441801134,0.3611016750639909
RNN,1,component_29,0.6844712603641879,0.5610479998202621,0.4158856507876613
RNN,1,component_30,0.8393803671384871,0.6593083969988157,0.35593884271552556
RNN,1,component_31,0.7696601870992995,0.6207707957281208,0.25458122687278817
RNN,1,component_32,0.7933768692209359,0.6446368102957959,0.25194259091354565
RNN,1,component_33,0.7763578770245141,0.6186918234816039,0.26599090867740155
RNN,1,component_34,0.7596540973633592,0.611354983053319,0.3742997757551992
RNN,1,component_35,0.8336125054793356,0.6668607617156855,0.18635029665052394
RNN,1,component_36,0.6765658638651133,0.5395074771904715,0.3340751060527455
RNN,1,component_37,0.765479309961334,0.6056289346241966,0.280850811574284
RNN,1,component_38,0.7370184855024041,0.5797071458548395,0.2869531406615178
RNN,1,component_39,0.7487756868793998,0.6026451313466378,0.1994974424155392
RNN,1,component_40,0.7326098510120941,0.5928063218550673,0.22296631201474076
RNN,1,component_41,0.7656090587000196,0.6193008057636006,0.1839390043017109
RNN,1,component_42,0.8206358482578384,0.6622439728467817,0.1795717353100406
RNN,1,component_43,0.7014575681502804,0.5665567640066909,0.28505573327974637
RNN,1,component_44,0.7080918564876826,0.5688510496573033,0.28244678935767614
RNN,1,component_45,0.7287382670852832,0.581381579565474,0.34404052648845845
RNN,1,component_46,0.753579999444305,0.6099899762734121,0.2815589571365242
RNN,1,component_47,0.7392732464724547,0.5842687333167687,0.19423144715433863
RNN,1,component_48,0.725794474717641,0.5757259327438645,0.3117390291648091
RNN,1,component_49,0.6987713135618836,0.5504422614282249,0.21248823763607
RNN,1,component_50,0.7007420770370597,0.5599839633675772,0.5097154287423751
RNN,1,component_51,0.7208444442201049,0.5727043684934747,0.2351596702958306
RNN,1,component_52,0.738954780956884,0.5927656084866063,0.3066641188051106
RNN,1,component_53,0.7224349473753795,0.5710183864061449,0.22846618211461397
RNN,1,component_54,0.728130598894633,0.5842658083356889,0.29168283122401506
RNN,1,component_55,0.7588514431821068,0.607301026906702,0.2229100131286329
RNN,1,component_56,0.7351064248132415,0.5913057046192542,0.30261141981966383
RNN,1,component_57,0.7682612188617756,0.6081400007890875,0.17794380166530505
RNN,1,component_58,0.7598393736113241,0.6004179927259609,0.21595007806397912
RNN,1,component_59,0.7529297379052432,0.5993062916140366,0.20006891350256314
RNN,1,component_60,0.7495863487019068,0.596523442307659,0.2792205479419611
RNN,2,overall,0.7875966568710708,0.6288281825995864,0.24144978144860507
RNN,2,component_01,0.6934873143324594,0.5502215393539835,0.5883541176637952
RNN,2,component_02,0.7832256696192083,0.6106200150886,0.4825247046223864
